Año fiscal,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H2-R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Total general
2018,89,157,0,262,1821,2835,0,0,2,10,0,0,0,0,48,,0,2,0,0,0,0,47,9,0,117,316,0,40,1,,0,0,0,0,0,,0,2,26,58,6,239,30,0,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,18,14,0,415,0,366,3,0,,,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6959,0,6959
2017,113,185,0,2620,1803,9553,0,0,15,13,0,0,0,0,0,,0,1,0,0,0,0,40,7,0,109,89,0,34,0,,8,0,0,0,0,,3,2,22,102,25,271,55,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,26,34,3,497,0,665,7,12,,,4,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,16335,0,16335
2016,120,272,0,2424,2211,7583,0,0,10,18,0,2,0,0,6,,0,3,0,0,0,0,53,5,0,104,127,0,39,0,,3,0,0,0,0,,0,7,15,98,22,243,39,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,18,31,0,383,1,425,9,0,,,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,14291,0,14291
2015,124,146,1,1946,2126,17089,0,0,12,19,0,0,0,0,44,,0,1,0,0,0,0,24,1,0,103,307,0,50,0,,4,0,0,0,0,,0,3,64,65,6,180,27,2,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,14,11,1,258,1,152,4,0,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,22797,0,22797
2014,107,54,0,2557,2069,35040,0,0,10,8,0,1,0,0,0,,0,2,0,0,1,0,32,2,0,105,102,0,44,0,,2,0,0,0,0,,0,0,8,63,2,263,46,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,285,0,122,1,0,,,10,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,41001,0,41001
2013,119,52,0,2336,2829,30249,0,0,6,7,0,1,0,0,0,0,1,1,0,0,0,0,24,2,0,107,96,0,50,0,0,4,0,0,0,0,,0,8,26,37,5,317,46,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,8,35,0,223,0,184,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,36787,0,36787
2012,90,29,0,1635,2722,14382,0,0,16,2,0,0,0,0,0,0,0,1,0,0,1,0,25,1,0,113,85,0,52,0,0,2,0,0,0,0,,0,1,8,38,5,424,68,2,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,9,20,0,310,7,140,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20200,0,20200
2011,101,58,0,1017,2364,13975,0,0,8,8,0,0,,,1,0,0,0,0,0,0,0,17,1,0,114,64,0,60,0,0,3,0,0,0,0,,0,1,9,40,7,305,65,0,0,5,6,1,0,0,0,1,0,0,0,0,0,0,0,5,12,2,426,0,212,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18892,0,18892
2010,99,45,0,827,2351,18745,0,0,14,5,0,0,,,3,0,0,2,,0,0,0,23,0,0,84,68,0,59,0,0,2,0,0,0,0,,0,0,20,33,2,207,35,5,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,12,9,2,268,0,180,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,23114,0,23114
2009,123,26,0,1132,2012,15424,0,0,16,6,0,3,,,0,0,0,1,,0,0,0,16,1,0,140,100,0,69,0,0,2,0,0,0,0,,0,1,25,42,2,286,85,11,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,6,7,2,49,0,8,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,19624,0,19624
