Atributo,Descripción,Tipo
Año fiscal,Período a partir del 1ro de octubre hasta el 30 de septiembre,Entero
Clase de visa,Cantidad concedida para esa clase de visa,Entero
,,
0 indica que no se registraron visas para esa clase. Los valores nulos (celdas vacías) indican clases no disponibles en un año dado o datos no disponibles.,,
,,
Clase,Descripción,
A-1,"Embajador, ministro público, diplomático de carrera o funcionario consular, o familia inmediata",
A-2,"Otro funcionario o empleado de gobierno extranjero, o familia inmediata",
A-3,"Asistente, sirviente o empleado personal de A1 o A2, o familia inmediata",
B-1,Vsitante temporal por negocios,
"B-1,2",Visitante temporal por negocios y placer,
"B-1,2/BCC",Combinación de B-1/B-2 y tarjeta de cruce fronterizo,
"B-1,2/BCV",Combinación B-1 / B-2 y tarjeta de cruce fronterizo (Lincoln Foil),
B-2,Visitante temporal por placer,
C-1,Extranjero en tránsito,
C-1/D,Visa combinada de tránsito y tripulante,
C-2,"Extranjero en tránsito hacia el distrito de la Sede de las Naciones Unidas de acuerdo con la Sección 11. (3), (4), o (5) del Acuerdo de la Sede",
C-3,"Funcionario de un gobierno extranjero, su familia inmediata, asistente, empleado o empleado personal, en tránsito",
CW-1,Trabajador transicional de las Islas Marianas del Norte,
CW-2,Cónyuge o hijo de CW-1,
D,Miembro de tripulación (marítima o aérea),
D-CREW,"(Ver D, visas D-CREW dejan de aparecer en los datos a partir de 2013)",
E-1,"Negociador de tratado, su cónyuge o hijo(s)",
E-2,"Inversionista de tratado, su cónyuge o hijo(s)",
E-2C,"Inversionista de Islas Marianas del Norte, su cónyuge o hijo",
E-3,Profesional australiano con ocupación especializada,
E-3D,Cónyuge o hijo de profesional australiano con ocupación especializada,
E-3R,Profesional australiano con ocupación especializada que regresa,
F-1,Estudiante en un programa de formación académica o de idioma,
F-2,Cónyuge o hijo de F1,
F-3,Estudiantes canadienses y mexicanos que deben cruzar la frontera para asistir a escuela,
G-1,"Principal representante residente de un gobierno extranjero reconocido ante una organización internacional, sus empleados o familia inmediata",
G-2,"Otro representante de un gobierno extranjero reconocido ante una organización internacional, y familia inmediata",
G-3,"Representante de un gobierno extranjero no reconocido o no miembro de una organización internacional, empleados o familiar directo",
G-4,"Funcionario o empleado de una organización internacional, y familia inmediata",
G-5,"Asistente, sirviente o empleado personal de G1 a G4, y familia inmediata",
H-1A,Enfermero para áreas subabastecidas cubierta actualmente por H-1C. Deja de aparecer en los datos a partir de 2013,
H-1B,Trabajador temporal con méritos y habilidades distinguidas prestando servicios que no sean los de enfermero registrado,
H1B1,Profesional de Acuerdo de Libre Comercio,
H-1C,Enfermero para áreas subabastecidas,
H-2A,Trabajador temporal para servicios agrícolas,
H-2B,Trabajador temporal para otros servicios,
H-2R,Trabajador temporal H-2B que regresa,
H-3,Aprendiz,
H-4,"Cónyuge o hijo de H-1B/B1/C, H-2A/B, o H-3",
I,"Representante de medio informativo extranjero, cónyuge e hijos",
J-1,Visitante de intercambio,
J-2,Cónyuge o hijo de visitante de intercambio,
K-1,Prometido(a) de ciudadano estadounidense,
K-2,Hijo de K-1,
K-3,Ciertos cónyuges de ciudadanos estadounidenses,
K-4,Hijo de K-3,
L-1,"Traslados interempresas (personal ejecutivo, administrativo y especializado que seguirá trabajando para una firma internacional o corporación)",
L-2,Cónyuge o hijo de trabajador trasladado,
M-1,Estudiante profesional y otros estudiantes no académicos,
M-2,Cónyuge o hijo de estudiante profesional,
M-3,Estudiante profesional y otros estudiantes no académicos de México y Canadá que deben cruzar la frontera,
N-8,Padres de inmigrante especial SK-3 o SN-3 ,
N-9,"Hijo de inmigrante especial N-8 o SK-1, SK-2, SK-4, SN-1, SN-2} o SN-4",
NATO-1,Representante principal permanente de un estado miembro a la OTAN (Incluyendo cualquiera de sus órganos auxiliares) residente en los EE.UU. y miembros residentes del personal oficial,
NATO-2,Otro representante de estado miembro de la OTAN (incluyendo cualquiera de sus órganos auxiliares) y su familia inmediata,
